nitrogen,phosporous,potassium,ec,ph,temp,hum
69,96,193,969,6.04,28.1,20.2
67,96,193,969,6.04,28.1,20.2
70,98,196,962,6.04,28.1,20.2
68,96,192,962,6.04,28.1,20.2
67,93,187,947,6.04,28.1,20.2
70,98,195,977,6.04,28.1,20.2
69,96,192,962,6.77,28.1,20.2
68,95,190,954,6.79,28.1,20.2
68,98,196,984,6.79,28.1,20.2
69,97,195,969,6.79,28.1,20.2
68,96,193,969,6.85,28.1,20.2
69,96,193,962,6.77,28.1,20.3
70,98,198,992,6.8,28.1,20.2
69,97,195,977,6.82,28.1,20.2
71,100,200,977,6.86,28.1,20.2
70,96,193,969,6.86,28.1,20.1
69,96,193,962,6.83,28.1,20.2
69,97,190,954,6.75,28.1,20.2
69,96,193,977,6.56,28.1,20.1
68,96,193,969,6.29,28.1,20.2
68.85,96.55,193.5,968.15,6.5385,28.1,20.195
